subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
bcdm:species_reference	bcdm:species_reference	skos:exactMatch	dwc:scientificNameAuthorship	dwc:scientificNameAuthorship	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:identification	bcdm:identification	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:identification_method	bcdm:identification_method	skos:exactMatch	dwc:identificationRemarks	dwc:identificationRemarks	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:identification_rank	bcdm:identification_rank	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:identified_by	bcdm:identified_by	skos:exactMatch	dwc:identifiedBy	dwc:identifiedBy	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:taxonomy_notes	bcdm:taxonomy_notes	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:sex	bcdm:sex	skos:exactMatch	dwc:sex	dwc:sex	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:reproduction	bcdm:reproduction	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:life_stage	bcdm:life_stage	skos:exactMatch	dwc:lifeStage	dwc:lifeStage	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:short_note	bcdm:short_note	skos:exactMatch	dwc:occurrenceRemarks	dwc:occurrenceRemarks	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:notes	bcdm:notes	skos:exactMatch	dwc:organismRemarks	dwc:organismRemarks	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
